1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
-1073741691,  	"There are no more authority agent values available for the given identifier authority value."
-1073741690,  	"An invalid volume label has been specified."
-1073741689,  	"A mapped section could not be extended."
-1073741688,  	"Specified section to flush does not map a data file."
-1073741687,  	"Indicates the specified image file did not contain a resource section."
-1073741686,  	"Indicates the specified resource type cannot be found in the image file."
-1073741685,  	"Indicates the specified resource name cannot be found in the image file."
-1073741684,  	"{EXCEPTION}\nArray bounds exceeded."
-1073741683,  	"{EXCEPTION}\nFloating-point denormal operand."
-1073741682,  	"{EXCEPTION}\nFloating-point division by zero."
-1073741681,  	"{EXCEPTION}\nFloating-point inexact result."
-1073741680,  	"{EXCEPTION}\nFloating-point invalid operation."
-1073741679,  	"{EXCEPTION}\nFloating-point overflow."
-1073741678,  	"{EXCEPTION}\nFloating-point stack check."
-1073741677,  	"{EXCEPTION}\nFloating-point underflow."
-1073741676,  	"{EXCEPTION}\nInteger division by zero."
-1073741675,  	"{EXCEPTION}\nInteger overflow."
-1073741674,  	"{EXCEPTION}\nPrivileged instruction."
-1073741673,  	"An attempt was made to install more paging files than the system supports."
-1073741672,  	"The volume for a file has been externally altered such that the opened file is no longer valid."
-1073741671,  	"When a block of memory is allotted for future updates, such as the memory allocated to hold discretionary access control and primary group information, successive updates may exceed the amount of memory originally allotted.\nSince quota may already have been charged to several processes which have handles to the object, it is not reasonable to alter the size of the allocated memory.\nInstead, a request that requires more memory than has been allotted must fail and the STATUS_ALLOTED_SPACE_EXCEEDED error returned."
-1073741670,  	"Insufficient system resources exist to complete the API."
-1073741669,  	"An attempt has been made to open a DFS exit path control file."
-1073741668,  	"STATUS_DEVICE_DATA_ERROR"
-1073741667,  	"STATUS_DEVICE_NOT_CONNECTED"
-1073741666,  	"STATUS_DEVICE_POWER_FAILURE"
-1073741665,  	"Virtual memory cannot be freed as base address is not the base of the region and a region size of zero was specified."
-1073741664,  	"An attempt was made to free virtual memory which is not allocated."
-1073741663,  	"The working set is not big enough to allow the requested pages to be locked."
-1073741662,  	"{Write Protect Error}\nThe disk cannot be written to because it is write protected.\nPlease remove the write protection from the volume %hs in drive %hs."
-1073741661,  	"{Drive Not Ready}\nThe drive is not ready for use; its door may be open.\nPlease check drive %hs and make sure that a disk is inserted and that the drive door is closed."
-1073741660,  	"The specified attributes are invalid, or incompatible with the attributes for the group as a whole."
-1073741659,  	"A specified impersonation level is invalid.\nAlso used to indicate a required impersonation level was not provided."
-1073741658,  	"An attempt was made to open an Anonymous level token.\nAnonymous tokens may not be opened."
-1073741657,  	"The validation information class requested was invalid."
-1073741656,  	"The type of a token object is inappropriate for its attempted use."
-1073741655,  	"The type of a token object is inappropriate for its attempted use."
-1073741654,  	"An attempt was made to execute an instruction at an unaligned address and the host system does not support unaligned instruction references."
-1073741653,  	"The maximum named pipe instance count has been reached."
-1073741652,  	"An instance of a named pipe cannot be found in the listening state."
-1073741651,  	"The named pipe is not in the connected or closing state."
-1073741650,  	"The specified pipe is set to complete operations and there are current I/O operations queued so it cannot be changed to queue operations."
-1073741649,  	"The specified handle is not open to the server end of the named pipe."
-1073741648,  	"The specified named pipe is in the disconnected state."
-1073741647,  	"The specified named pipe is in the closing state."
-1073741646,  	"The specified named pipe is in the connected state."
-1073741645,  	"The specified named pipe is in the listening state."
-1073741644,  	"The specified named pipe is not in message mode."
-1073741643,  	"{Device Timeout}\nThe specified I/O operation on %hs was not completed before the time-out period expired."
-1073741642,  	"The specified file has been closed by another process."
-1073741641,  	"Profiling not started."
-1073741640,  	"Profiling not stopped."
-1073741639,  	"The passed ACL did not contain the minimum required information."
-1073741638,  	"The file that was specified as a target is a directory and the caller specified that it could be anything but a directory."
-1073741637,  	"The request is not supported."
-1073741636,  	"This remote computer is not listening."
-1073741635,  	"A duplicate name exists on the network."
-1073741634,  	"The network path cannot be located."
-1073741633,  	"The network is busy."
-1073741632,  	"This device does not exist."
-1073741631,  	"The network BIOS command limit has been reached."
-1073741630,  	"An I/O adapter hardware error has occurred."
-1073741629,  	"The network responded incorrectly."
-1073741628,  	"An unexpected network error occurred."
-1073741627,  	"The remote adapter is not compatible."
-1073741626,  	"The printer queue is full."
-1073741625,  	"Space to store the file waiting to be printed is not available on the server."
-1073741624,  	"The requested print file has been canceled."
-1073741623,  	"The network name was deleted."
-1073741622,  	"Network access is denied."
-1073741621,  	"{Incorrect Network Resource Type}\nThe specified device type (LPT, for example) conflicts with the actual device type on the remote resource."
-1073741620,  	"{Network Name Not Found}\nThe specified share name cannot be found on the remote server."
-1073741619,  	"The name limit for the local computer network adapter card was exceeded."
-1073741618,  	"The network BIOS session limit was exceeded."
-1073741617,  	"File sharing has been temporarily paused."
-1073741616,  	"No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept."
-1073741615,  	"Print or disk redirection is temporarily paused."
-1073741614,  	"A network data fault occurred."
-1073741613,  	"The number of active profiling objects is at the maximum and no more may be started."
-1073741612,  	"{Incorrect Volume}\nThe target file of a rename request is located on a different device than the source of the rename request."
-1073741611,  	"The file specified has been renamed and thus cannot be modified."
-1073741610,  	"{Network Request Timeout}\nThe session with a remote server has been disconnected because the time-out interval for a request has expired."
-1073741609,  	"Indicates an attempt was made to operate on the security of an object that does not have security associated with it."
-1073741608,  	"Used to indicate that an operation cannot continue without blocking for I/O."
-1073741607,  	"Used to indicate that a read operation was done on an empty pipe."
-1073741606,  	"Configuration information could not be read from the domain controller, either because the machine is unavailable, or access has been denied."
-1073741605,  	"Indicates that a thread attempted to terminate itself by default (called NtTerminateThread with NULL) and it was the last thread in the current process."
-1073741604,  	"Indicates the Sam Server was in the wrong state to perform the desired operation."
-1073741603,  	"Indicates the Domain was in the wrong state to perform the desired operation."
-1073741602,  	"This operation is only allowed for the Primary Domain Controller of the domain."
-1073741601,  	"The specified Domain did not exist."
-1073741600,  	"The specified Domain already exists."
-1073741599,  	"An attempt was made to exceed the limit on the number of domains per server for this release."
-1073741598,  	"Error status returned when oplock request is denied."
-1073741597,  	"Error status returned when an invalid oplock acknowledgment is received by a file system."
-1073741596,  	"This error indicates that the requested operation cannot be completed due to a catastrophic media failure or on-disk data structure corruption."
-1073741595,  	"An internal error occurred."
-1073741594,  	"Indicates generic access types were contained in an access mask which should already be mapped to non-generic access types."
-1073741593,  	"Indicates a security descriptor is not in the necessary format (absolute or self-relative)."
-1073741592,  	"An access to a user buffer failed at an \"expected\" point in time.\nThis code is defined since the caller does not want to accept STATUS_ACCESS_VIOLATION in its filter."
-1073741591,  	"If an I/O error is returned which is not defined in the standard FsRtl filter, it is converted to the following error which is guaranteed to be in the filter.\nIn this case information is lost, however, the filter correctly handles the exception."
-1073741590,  	"If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter.\nIn this case information is lost, however, the filter correctly handles the exception."
-1073741589,  	"If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter.\nIn this case information is lost, however, the filter correctly handles the exception."
-1073741588,  	"If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter.\nIn this case information is lost, however, the filter correctly handles the exception."
-1073741587,  	"The requested action is restricted for use by logon processes only. The calling process has not registered as a logon process."
-1073741586,  	"An attempt has been made to start a new session manager or LSA logon session with an ID that is already in use."
-1073741585,  	"An invalid parameter was passed to a service or function as the first argument."
-1073741584,  	"An invalid parameter was passed to a service or function as the second argument."
-1073741583,  	"An invalid parameter was passed to a service or function as the third argument."
-1073741582,  	"An invalid parameter was passed to a service or function as the fourth argument."
-1073741581,  	"An invalid parameter was passed to a service or function as the fifth argument."
-1073741580,  	"An invalid parameter was passed to a service or function as the sixth argument."
-1073741579,  	"An invalid parameter was passed to a service or function as the seventh argument."
-1073741578,  	"An invalid parameter was passed to a service or function as the eighth argument."
-1073741577,  	"An invalid parameter was passed to a service or function as the ninth argument."
-1073741576,  	"An invalid parameter was passed to a service or function as the tenth argument."
-1073741575,  	"An invalid parameter was passed to a service or function as the eleventh argument."
-1073741574,  	"An invalid parameter was passed to a service or function as the twelfth argument."
-1073741573,  	"An attempt was made to access a network file, but the network software was not yet started."
-1073741572,  	"An attempt was made to start the redirector, but the redirector has already been started."
-1073741571,  	"A new guard page for the stack cannot be created."
-1073741570,  	"A specified authentication package is unknown."
-1073741569,  	"A malformed function table was encountered during an unwind operation."
-1073741568,  	"Indicates the specified environment variable name was not found in the specified environment block."
-1073741567,  	"Indicates that the directory trying to be deleted is not empty."
-1073741566,  	"{Corrupt File}\nThe file or directory %hs is corrupt and unreadable.\nPlease run the Chkdsk utility."
-1073741565,  	"A requested opened file is not a directory."
-1073741564,  	"The logon session is not in a state that is consistent with the requested operation."
-1073741563,  	"An internal LSA error has occurred. An authentication package has requested the creation of a Logon Session but the ID of an already existing Logon Session has been specified."
-1073741562,  	"A specified name string is too long for its intended use."
-1073741561,  	"The user attempted to force close the files on a redirected drive, but there were opened files on the drive, and the user did not specify a sufficient level of force."
-1073741560,  	"The user attempted to force close the files on a redirected drive, but there were opened directories on the drive, and the user did not specify a sufficient level of force."
-1073741559,  	"RtlFindMessage could not locate the requested message ID in the message table resource."
-1073741558,  	"An attempt was made to duplicate an object handle into or out of an exiting process."
-1073741557,  	"Indicates an invalid value has been provided for the LogonType requested."
-1073741556,  	"Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system.\nThis causes the protection attempt to fail, which may cause a file creation attempt to fail."
-1073741555,  	"Indicates that an attempt has been made to impersonate via a named pipe that has not yet been read from."
-1073741554,  	"Indicates that the specified image is already loaded."
-1073741553,  	"STATUS_ABIOS_NOT_PRESENT"
-1073741552,  	"STATUS_ABIOS_LID_NOT_EXIST"
-1073741551,  	"STATUS_ABIOS_LID_ALREADY_OWNED"
-1073741550,  	"STATUS_ABIOS_NOT_LID_OWNER"
-1073741549,  	"STATUS_ABIOS_INVALID_COMMAND"
-1073741548,  	"STATUS_ABIOS_INVALID_LID"
-1073741547,  	"STATUS_ABIOS_SELECTOR_NOT_AVAILABLE"
-1073741546,  	"STATUS_ABIOS_INVALID_SELECTOR"
-1073741545,  	"Indicates that an attempt was made to change the size of the LDT for a process that has no LDT."
-1073741544,  	"Indicates that an attempt was made to grow an LDT by setting its size, or that the size was not an even number of selectors."
-1073741543,  	"Indicates that the starting value for the LDT information was not an integral multiple of the selector size."
-1073741542,  	"Indicates that the user supplied an invalid descriptor when trying to set up Ldt descriptors."
-1073741541,  	"The specified image file did not have the correct format. It appears to be NE format."
-1073741540,  	"Indicates that the transaction state of a registry sub-tree is incompatible with the requested operation.\nFor example, a request has been made to start a new transaction with one already in progress,\nor a request has been made to apply a transaction when one is not currently in progress."
-1073741539,  	"Indicates an error has occurred during a registry transaction commit.\nThe database has been left in an unknown, but probably inconsistent, state.\nThe state of the registry transaction is left as COMMITTING."
-1073741538,  	"An attempt was made to map a file of size zero with the maximum size specified as zero."
-1073741537,  	"Too many files are opened on a remote server.\nThis error should only be returned by the Windows redirector on a remote drive."
-1073741536,  	"The I/O request was canceled."
-1073741535,  	"An attempt has been made to remove a file or directory that cannot be deleted."
-1073741534,  	"Indicates a name specified as a remote computer name is syntactically invalid."
-1073741533,  	"An I/O request other than close was performed on a file after it has been deleted,\nwhich can only happen to a request which did not complete before the last handle was closed via NtClose."
-1073741532,  	"Indicates an operation has been attempted on a built-in (special) SAM account which is incompatible with built-in accounts.\nFor example, built-in accounts cannot be deleted."
-1073741531,  	"The operation requested may not be performed on the specified group because it is a built-in special group."
-1073741530,  	"The operation requested may not be performed on the specified user because it is a built-in special user."
-1073741529,  	"Indicates a member cannot be removed from a group because the group is currently the member's primary group."
-1073741528,  	"An I/O request other than close and several other special case operations was attempted using a file object that had already been closed."
-1073741527,  	"Indicates a process has too many threads to perform the requested action. For example, assignment of a primary token may only be performed when a process has zero or one threads."
-1073741526,  	"An attempt was made to operate on a thread within a specific process, but the thread specified is not in the process specified."
-1073741525,  	"An attempt was made to establish a token for use as a primary token but the token is already in use. A token can only be the primary token of one process at a time."
-1073741524,  	"Page file quota was exceeded."
-1073741523,  	"{Out of Virtual Memory}\nYour system is low on virtual memory. To ensure that Windows runs properly, increase the size of your virtual memory paging file. For more information, see Help."
-1073741522,  	"The specified image file did not have the correct format, it appears to be LE format."
-1073741521,  	"The specified image file did not have the correct format, it did not have an initial MZ."
-1073741520,  	"The specified image file did not have the correct format, it did not have a proper e_lfarlc in the MZ header."
-1073741519,  	"The specified image file did not have the correct format, it appears to be a 16-bit Windows image."
-1073741518,  	"The Netlogon service cannot start because another Netlogon service running in the domain conflicts with the specified role."
-1073741517,  	"The time at the Primary Domain Controller is different than the time at the Backup Domain Controller or member server by too large an amount."
-1073741516,  	"The SAM database on a Windows Server is significantly out of synchronization with the copy on the Domain Controller. A complete synchronization is required."
-1073741515,  	"{Unable To Locate Component}\nThis application has failed to start because %hs was not found. Re-installing the application may fix this problem."
-1073741514,  	"The NtCreateFile API failed. This error should never be returned to an application, it is a place holder for the Windows Lan Manager Redirector to use in its internal error mapping routines."
-1073741513,  	"{Privilege Failed}\nThe I/O permissions for the process could not be changed."
-1073741512,  	"{Ordinal Not Found}\nThe ordinal %ld could not be located in the dynamic link library %hs."
-1073741511,  	"{Entry Point Not Found}\nThe procedure entry point %hs could not be located in the dynamic link library %hs."
-1073741510,  	"{Application Exit by CTRL+C}\nThe application terminated as a result of a CTRL+C."
-1073741509,  	"{Virtual Circuit Closed}\nThe network transport on your computer has closed a network connection. There may or may not be I/O requests outstanding."
-1073741508,  	"{Virtual Circuit Closed}\nThe network transport on a remote computer has closed a network connection. There may or may not be I/O requests outstanding."
-1073741507,  	"{Insufficient Resources on Remote Computer}\nThe remote computer has insufficient resources to complete the network request. For instance, there may not be enough memory available on the remote computer to carry out the request at this time."
-1073741506,  	"{Virtual Circuit Closed}\nAn existing connection (virtual circuit) has been broken at the remote computer. There is probably something wrong with the network software protocol or the network hardware on the remote computer."
-1073741505,  	"{Virtual Circuit Closed}\nThe network transport on your computer has closed a network connection because it had to wait too long for a response from the remote computer."
-1073741504,  	"The connection handle given to the transport was invalid."
-1073741503,  	"The address handle given to the transport was invalid."
-1073741502,  	"{DLL Initialization Failed}\nInitialization of the dynamic link library %hs failed. The process is terminating abnormally."
-1073741501,  	"{Missing System File}\nThe required system file %hs is bad or missing."
-1073741500,  	"{Application Error}\nThe exception %s (0x%08lx) occurred in the application at location 0x%08lx."
-1073741499,  	"{Application Error}\nThe application failed to initialize properly (0x%lx). Click on OK to terminate the application."
-1073741498,  	"{Unable to Create Paging File}\nThe creation of the paging file %hs failed (%lx). The requested size was %ld."
-1073741497,  	"{No Paging File Specified}\nNo paging file was specified in the system configuration."
-1073741496,  	"{Incorrect System Call Level}\nAn invalid level was passed into the specified system call."
-1073741495,  	"{Incorrect Password to LAN Manager Server}\nYou specified an incorrect password to a LAN Manager 2.x or MS-NET server."
-1073741494,  	"{EXCEPTION}\nA real-mode application issued a floating-point instruction and floating-point hardware is not present."
-1073741493,  	"The pipe operation has failed because the other end of the pipe has been closed."
-1073741492,  	"{The Registry Is Corrupt}\nThe structure of one of the files that contains Registry data is corrupt, or the image of the file in memory is corrupt, or the file could not be recovered because the alternate copy or log was absent or corrupt."
-1073741491,  	"An I/O operation initiated by the Registry failed unrecoverably.\nThe Registry could not read in, or write out, or flush, one of the files that contain the system's image of the Registry."
-1073741490,  	"An event pair synchronization operation was performed using the thread specific client/server event pair object, but no event pair object was associated with the thread."
-1073741489,  	"The volume does not contain a recognized file system.\nPlease make sure that all required file system drivers are loaded and that the volume is not corrupt."
-1073741488,  	"No serial device was successfully initialized. The serial driver will unload."
-1073741487,  	"The specified local group does not exist."
-1073741486,  	"The specified account name is not a member of the local group."
-1073741485,  	"The specified account name is already a member of the local group."
-1073741484,  	"The specified local group already exists."
-1073741483,  	"A requested type of logon (e.g., Interactive, Network, Service) is not granted by the target system's local security policy.\nPlease ask the system administrator to grant the necessary form of logon."
-1073741482,  	"The maximum number of secrets that may be stored in a single system has been exceeded. The length and number of secrets is limited to satisfy United States State Department export restrictions."
-1073741481,  	"The length of a secret exceeds the maximum length allowed. The length and number of secrets is limited to satisfy United States State Department export restrictions."
-1073741480,  	"The Local Security Authority (LSA) database contains an internal inconsistency."
-1073741479,  	"The requested operation cannot be performed in fullscreen mode."
-1073741478,  	"During a logon attempt, the user's security context accumulated too many security IDs. This is a very unusual situation.\nRemove the user from some global or local groups to reduce the number of security ids to incorporate into the security context."
-1073741477,  	"A user has requested a type of logon (e.g., interactive or network) that has not been granted. An administrator has control over who may logon interactively and through the network."
-1073741476,  	"The system has attempted to load or restore a file into the registry, and the specified file is not in the format of a registry file."
-1073741475,  	"An attempt was made to change a user password in the security account manager without providing the necessary Windows cross-encrypted password."
-1073741474,  	"A Windows Server has an incorrect configuration."
-1073741473,  	"An attempt was made to explicitly access the secondary copy of information via a device control to the Fault Tolerance driver and the secondary copy is not present in the system."
-1073741472,  	"A configuration registry node representing a driver service entry was ill-formed and did not contain required value entries."
-1073741471,  	"An illegal character was encountered. For a multi-byte character set this includes a lead byte without a succeeding trail byte. For the Unicode character set this includes the characters 0xFFFF and 0xFFFE."
-1073741470,  	"No mapping for the Unicode character exists in the target multi-byte code page."
-1073741469,  	"The Unicode character is not defined in the Unicode character set installed on the system."
-1073741468,  	"The paging file cannot be created on a floppy diskette."
-1073741467,  	"{Floppy Disk Error}\nWhile accessing a floppy disk, an ID address mark was not found."
-1073741466,  	"{Floppy Disk Error}\nWhile accessing a floppy disk, the track address from the sector ID field was found to be different than the track address maintained by the controller."
-1073741465,  	"{Floppy Disk Error}\nThe floppy disk controller reported an error that is not recognized by the floppy disk driver."
-1073741464,  	"{Floppy Disk Error}\nWhile accessing a floppy-disk, the controller returned inconsistent results via its registers."
-1073741463,  	"{Hard Disk Error}\nWhile accessing the hard disk, a recalibrate operation failed, even after retries."
-1073741462,  	"{Hard Disk Error}\nWhile accessing the hard disk, a disk operation failed even after retries."
-1073741461,  	"{Hard Disk Error}\nWhile accessing the hard disk, a disk controller reset was needed, but even that failed."
-1073741460,  	"An attempt was made to open a device that was sharing an IRQ with other devices.\nAt least one other device that uses that IRQ was already opened.\nTwo concurrent opens of devices that share an IRQ and only work via interrupts is not supported for the particular bus type that the devices use."
-1073741459,  	"{FT Orphaning}\nA disk that is part of a fault-tolerant volume can no longer be accessed."
-1073741458,  	"The system bios failed to connect a system interrupt to the device or bus for\nwhich the device is connected."
-1073741454,  	"Tape could not be partitioned."
-1073741453,  	"When accessing a new tape of a multivolume partition, the current blocksize is incorrect."
-1073741452,  	"Tape partition information could not be found when loading a tape."
-1073741451,  	"Attempt to lock the eject media mechanism fails."
-1073741450,  	"Unload media fails."
-1073741449,  	"Physical end of tape was detected."
-1073741448,  	"{No Media}\nThere is no media in the drive.\nPlease insert media into drive %hs."
-1073741446,  	"A member could not be added to or removed from the local group because the member does not exist."
-1073741445,  	"A new member could not be added to a local group because the member has the wrong account type."
-1073741444,  	"Illegal operation attempted on a registry key which has been marked for deletion."
-1073741443,  	"System could not allocate required space in a registry log."
-1073741442,  	"Too many Sids have been specified."
-1073741441,  	"An attempt was made to change a user password in the security account manager without providing the necessary LM cross-encrypted password."
-1073741440,  	"An attempt was made to create a symbolic link in a registry key that already has subkeys or values."
-1073741439,  	"An attempt was made to create a Stable subkey under a Volatile parent key."
-1073741438,  	"The I/O device is configured incorrectly or the configuration parameters to the driver are incorrect."
-1073741437,  	"An error was detected between two drivers or within an I/O driver."
-1073741436,  	"The device is not in a valid state to perform this request."
-1073741435,  	"The I/O device reported an I/O error."
-1073741434,  	"A protocol error was detected between the driver and the device."
-1073741433,  	"This operation is only allowed for the Primary Domain Controller of the domain."
-1073741432,  	"Log file space is insufficient to support this operation."
-1073741431,  	"A write operation was attempted to a volume after it was dismounted."
-1073741430,  	"The workstation does not have a trust secret for the primary domain in the local LSA database."
-1073741429,  	"The SAM database on the Windows Server does not have a computer account for this workstation trust relationship."
-1073741428,  	"The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
-1073741427,  	"The logon request failed because the trust relationship between this workstation and the primary domain failed."
-1073741426,  	"The Eventlog log file is corrupt."
-1073741425,  	"No Eventlog log file could be opened. The Eventlog service did not start."
-1073741424,  	"The network logon failed. This may be because the validation authority can't be reached."
-1073741423,  	"An attempt was made to acquire a mutant such that its maximum count would have been exceeded."
-1073741422,  	"An attempt was made to logon, but the netlogon service was not started."
-1073741421,  	"The user's account has expired."
-1073741420,  	"{EXCEPTION}\nPossible deadlock condition."
-1073741419,  	"Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.."
-1073741418,  	"An attempt was made to establish a session to a network server, but there are already too many sessions established to that server."
-1073741417,  	"The log file has changed between reads."
-1073741416,  	"The account used is an Interdomain Trust account. Use your global user account or local user account to access this server."
-1073741415,  	"The account used is a Computer Account. Use your global user account or local user account to access this server."
-1073741414,  	"The account used is an Server Trust account. Use your global user account or local user account to access this server."
-1073741413,  	"The name or SID of the domain specified is inconsistent with the trust information for that domain."
-1073741412,  	"A volume has been accessed for which a file system driver is required that has not yet been loaded."
-1073741310,  	"There is no user session key for the specified logon session."
-1073741309,  	"The remote user session has been deleted."
-1073741308,  	"Indicates the specified resource language ID cannot be found in the\nimage file."
-1073741307,  	"Insufficient server resources exist to complete the request."
-1073741306,  	"The size of the buffer is invalid for the specified operation."
-1073741305,  	"The transport rejected the network address specified as invalid."
-1073741304,  	"The transport rejected the network address specified due to an invalid use of a wildcard."
-1073741303,  	"The transport address could not be opened because all the available addresses are in use."
-1073741302,  	"The transport address could not be opened because it already exists."
-1073741301,  	"The transport address is now closed."
-1073741300,  	"The transport connection is now disconnected."
-1073741299,  	"The transport connection has been reset."
-1073741298,  	"The transport cannot dynamically acquire any more nodes."
-1073741297,  	"The transport aborted a pending transaction."
-1073741296,  	"The transport timed out a request waiting for a response."
-1073741295,  	"The transport did not receive a release for a pending response."
-1073741294,  	"The transport did not find a transaction matching the specific\ntoken."
-1073741293,  	"The transport had previously responded to a transaction request."
-1073741292,  	"The transport does not recognized the transaction request identifier specified."
-1073741291,  	"The transport does not recognize the transaction request type specified."
-1073741290,  	"The transport can only process the specified request on the server side of a session."
-1073741289,  	"The transport can only process the specified request on the client side of a session."
-1073741288,  	"{Registry File Failure}\nThe registry cannot load the hive (file):\n%hs\nor its log or alternate.\nIt is corrupt, absent, or not writable."
-1073741287,  	"{Unexpected Failure in DebugActiveProcess}\nAn unexpected failure occurred while processing a DebugActiveProcess API request. You may choose OK to terminate the process, or Cancel to ignore the error."
-1073741286,  	"{Fatal System Error}\nThe %hs system process terminated unexpectedly with a status of 0x%08x (0x%08x 0x%08x).\nThe system has been shut down."
-1073741285,  	"{Data Not Accepted}\nThe TDI client could not handle the data received during an indication."
-1073741284,  	"{Unable to Retrieve Browser Server List}\nThe list of servers for this workgroup is not currently available."
-1073741283,  	"NTVDM encountered a hard error."
-1073741282,  	"{Cancel Timeout}\nThe driver %hs failed to complete a cancelled I/O request in the allotted time."
-1073741281,  	"{Reply Message Mismatch}\nAn attempt was made to reply to an LPC message, but the thread specified by the client ID in the message was not waiting on that message."
-1073741280,  	"{Mapped View Alignment Incorrect}\nAn attempt was made to map a view of a file, but either the specified base address or the offset into the file were not aligned on the proper allocation granularity."
-1073741279,  	"{Bad Image Checksum}\nThe image %hs is possibly corrupt. The header checksum does not match the computed checksum."
-1073741278,  	"{Delayed Write Failed}\nWindows was unable to save all the data for the file %hs. The data has been lost.\nThis error may be caused by a failure of your computer hardware or network connection. Please try to save this file elsewhere."
-1073741277,  	"The parameter(s) passed to the server in the client/server shared memory window were invalid. Too much data may have been put in the shared memory window."
-1073741276,  	"The user's password must be changed before logging on the first time."
-1073741275,  	"The object was not found."
-1073741274,  	"The stream is not a tiny stream."
-1073741273,  	"A transaction recover failed."
-1073741272,  	"The request must be handled by the stack overflow code."
-1073741271,  	"A consistency check failed."
-1073741270,  	"The attempt to insert the ID in the index failed because the ID is already in the index."
-1073741269,  	"The attempt to set the object's ID failed because the object already has an ID."
-1073741268,  	"Internal OFS status codes indicating how an allocation operation is handled. Either it is retried after the containing onode is moved or the extent stream is converted to a large stream."
-1073741267,  	"The request needs to be retried."
-1073741266,  	"The attempt to find the object found an object matching by ID on the volume but it is out of the scope of the handle used for the operation."
-1073741265,  	"The bucket array must be grown. Retry transaction after doing so."
-1073741264,  	"The property set specified does not exist on the object."
-1073741263,  	"The user/kernel marshalling buffer has overflowed."
-1073741262,  	"The supplied variant structure contains invalid data."
-1073741261,  	"Could not find a domain controller for this domain."
-1073741260,  	"The user account has been automatically locked because too many invalid logon attempts or password change attempts have been requested."
-1073741259,  	"NtClose was called on a handle that was protected from close via NtSetInformationObject."
-1073741258,  	"The transport connection attempt was refused by the remote system."
-1073741257,  	"The transport connection was gracefully closed."
-1073741256,  	"The transport endpoint already has an address associated with it."
-1073741255,  	"An address has not yet been associated with the transport endpoint."
-1073741254,  	"An operation was attempted on a nonexistent transport connection."
-1073741253,  	"An invalid operation was attempted on an active transport connection."
-1073741252,  	"The remote network is not reachable by the transport."
-1073741251,  	"The remote system is not reachable by the transport."
-1073741250,  	"The remote system does not support the transport protocol."
-1073741249,  	"No service is operating at the destination port of the transport on the remote system."
-1073741248,  	"The request was aborted."
-1073741247,  	"The transport connection was aborted by the local system."
-1073741246,  	"The specified buffer contains ill-formed data."
-1073741245,  	"The requested operation cannot be performed on a file with a user mapped section open."
-1073741244,  	"{Audit Failed}\nAn attempt to generate a security audit failed."
-1073741243,  	"The timer resolution was not previously set by the current process."
-1073741242,  	"A connection to the server could not be made because the limit on the number of concurrent connections for this account has been reached."
-1073741241,  	"Attempting to login during an unauthorized time of day for this account."
-1073741240,  	"The account is not authorized to login from this station."
-1073741239,  	"{UP/MP Image Mismatch}\nThe image %hs has been modified for use on a uniprocessor system, but you are running it on a multiprocessor machine.\nPlease reinstall the image file."
-1073741232,  	"There is insufficient account information to log you on."
-1073741231,  	"{Invalid DLL Entrypoint}\nThe dynamic link library %hs is not written correctly. The stack pointer has been left in an inconsistent state.\nThe entrypoint should be declared as WINAPI or STDCALL. Select YES to fail the DLL load. Select NO to continue execution. Selecting NO may cause the application to operate incorrectly."
-1073741230,  	"{Invalid Service Callback Entrypoint}\nThe %hs service is not written correctly. The stack pointer has been left in an inconsistent state.\nThe callback entrypoint should be declared as WINAPI or STDCALL. Selecting OK will cause the service to continue operation. However, the service process may operate incorrectly."
-1073741229,  	"The server received the messages but did not send a reply."
-1073741228,  	"There is an IP address conflict with another system on the network"
-1073741227,  	"There is an IP address conflict with another system on the network"
-1073741226,  	"{Low On Registry Space}\nThe system has reached the maximum size allowed for the system part of the registry.  Additional storage requests will be ignored."
-1073741225,  	"The contacted server does not support the indicated part of the DFS namespace."
-1073741224,  	"A callback return system service cannot be executed when no callback is active."
-1073741223,  	"The service being accessed is licensed for a particular number of connections.\nNo more connections can be made to the service at this time because there are already as many connections as the service can accept."
-1073741222,  	"The password provided is too short to meet the policy of your user account.\nPlease choose a longer password."
-1073741221,  	"The policy of your user account does not allow you to change passwords too frequently.\nThis is done to prevent users from changing back to a familiar, but potentially discovered, password.\nIf you feel your password has been compromised then please contact your administrator immediately to have a new one assigned."
-1073741220,  	"You have attempted to change your password to one that you have used in the past.\nThe policy of your user account does not allow this. Please select a password that you have not previously used."
-1073741218,  	"You have attempted to load a legacy device driver while its device instance had been disabled."
-1073741217,  	"The specified compression format is unsupported."
-1073741216,  	"The specified hardware profile configuration is invalid."
-1073741215,  	"The specified Plug and Play registry device path is invalid."
